Name,Genre,Platform,Release_Season,NA_Sales_Millions,EU_Sales_Millions,Global_Sales_Millions,Developer,Original_Index,User_Score,Rating,Publisher,Steam_App_ID,Price,Year_of_Release
Rayman 2: The Great Escape,Platform,PS,Fall,0.18,0.12,0.32,,5606,,,Ubisoft,-1.0,$1.49,2000.0
Riven: The Sequel to Myst,Adventure,PS,Fall,0.18,0.12,0.32,Presto Studios,5645,,,Acclaim Entertainment,-1.0,,1997.0
Marvel Nemesis: Rise of the Imperfects,Fighting,PSP,Fall,0.29,0.0,0.32,EA Canada,5666,8.7,T,Electronic Arts,-1.0,,2005.0
Marvel: Ultimate Alliance 2,Role-Playing,Wii,Fall,0.25,0.05,0.32,n-Space,5577,5.2,T,Activision,-1.0,,2009.0
Madden NFL 2002,Sports,GBA,Summer,0.23,0.08,0.32,BudCat,5660,tbd,E,Electronic Arts,-1.0,,2001.0
World of Warcraft: Legion,Role-Playing,PC,Summer,0.13,0.16,0.32,Blizzard Entertainment,5609,7.5,T,Activision,-1.0,,2016.0
Shenmue II,Adventure,XB,Fall,0.22,0.08,0.32,Sega AM2,5687,9.3,T,Microsoft Game Studios,-1.0,$1.99,2002.0
Alone in the Dark: One-Eyed Jack's Revenge,Adventure,PS,Winter,0.17,0.12,0.31,Choice of Games,5723,,,Infogrames,-1.0,,1996.0
NBA Live 08,Sports,PSP,Fall,0.28,0.0,0.31,EA Canada,5821,6.2,E,Electronic Arts,-1.0,,2007.0
Star Wars Jedi Knight II: Jedi Outcast,Shooter,XB,Spring,0.23,0.07,0.31,Vicarious Visions,5769,6.8,T,Activision,-1.0,$8.46,
DmC: Devil May Cry,Action,PS4,Winter,0.12,0.13,0.31,,5816,,,Capcom,-1.0,$6.38,2015.0
Final Fantasy IV,Simulation,PS,Summer,0.0,0.0,0.31,Square Enix,5785,,,SquareSoft,-1.0,$6.39,1997.0
Madden NFL 2004,Sports,GBA,Summer,0.22,0.08,0.31,BudCat,5708,6.6,E,Electronic Arts,-1.0,,2003.0
Metro: Last Light,Action,XOne,Spring,0.15,0.13,0.31,4A Games,5736,,,Deep Silver,-1.0,$1.99,2014.0
Pro Evolution Soccer 2013,Sports,X360,Fall,0.08,0.2,0.31,Konami,5793,6.9,E,Konami Digital Entertainment,-1.0,,2012.0
Monster Lab,Role-Playing,Wii,Fall,0.27,0.02,0.31,Backbone Entertainment,5717,8.4,E10+,Eidos Interactive,-1.0,,2008.0
Tropico 5,Action,PS,Spring,0.17,0.12,0.31,Wildfire Studios,5747,3.8,T,Take-Two Interactive,245620.0,$8.00,2001.0
Shrek Swamp Kart Speedway,Racing,GBA,Spring,0.22,0.08,0.3,Prolific,5825,8.9,E,TDK Mediactive,-1.0,,2002.0
The King of Fighters XIII,Fighting,PS3,Summer,0.17,0.06,0.3,SNK Playmore,5860,8.2,T,Rising Star Games,-1.0,$19.99,2011.0
Virtua Cop 2,Shooter,SAT,Fall,0.0,0.0,0.3,Grumpy Fox,5828,,,Sega,-1.0,,1996.0
Rayman 2: Revolution,Platform,PS2,Fall,0.15,0.11,0.3,Ubisoft,5883,8.2,E,Ubisoft,-1.0,,2000.0
Quake II,Shooter,N64,Winter,0.24,0.06,0.3,,5875,,,Activision,-1.0,$3.99,1999.0
Tom Clancy's Splinter Cell 3D,Action,3DS,Spring,0.14,0.07,0.3,Ubisoft,5865,5.5,T,Ubisoft,-1.0,,2011.0
Lego Batman 3: Beyond Gotham,Action,PSV,Fall,0.05,0.19,0.3,TT Games,5863,7.7,E10+,Warner Bros. Interactive Entertainment,-1.0,$3.90,2014.0
Naruto Shippuden: Ultimate Ninja Storm 4,Fighting,XOne,Winter,0.21,0.07,0.3,CyberConnect2,5849,8.5,T,Namco Bandai Games,-1.0,$8.37,2016.0
NBA Live 2003,Sports,GC,Fall,0.23,0.06,0.3,EA Canada,5889,8.2,E,Electronic Arts,-1.0,,
Final Fantasy XI: Wings of the Goddess,Role-Playing,X360,Spring,0.26,0.0,0.3,Square Enix,5879,5.8,T,Square Enix,-1.0,,2007.0
The Sims 2,Simulation,PC,Fall,0.02,0.24,0.29,Maxis,5944,8.8,T,Electronic Arts,-1.0,$29.99,2004.0
Assassin's Creed IV: Black Flag,Action,WiiU,Fall,0.17,0.09,0.29,Ubisoft,6082,7.7,M,Ubisoft,-1.0,$39.99,2013.0
FlatOut: Head On,Racing,PSP,Summer,0.13,0.1,0.29,Bugbear,5999,8.2,T,Empire Interactive,-1.0,,2008.0
NASCAR 08,Racing,X360,Summer,0.26,0.0,0.29,EA Tiburon,6076,5.2,E,Electronic Arts,-1.0,,2007.0
World of Tanks,Shooter,PC,Summer,0.0,0.23,0.29,Wargaming.net,6078,3.7,T,Wargaming.net,-1.0,$48.99,2011.0
Sonic & All-Stars Racing Transformed,Racing,3DS,Fall,0.12,0.14,0.29,Sonic Team,6072,,,Sega,-1.0,$10.49,2012.0
X-Men Legends II: Rise of Apocalypse,Role-Playing,PSP,Fall,0.25,0.01,0.29,Vicarious Visions,6019,8.2,T,Activision,-1.0,,2005.0
Harvest Moon: Magical Melody,Simulation,Wii,Fall,0.23,0.03,0.29,Marvelous Entertainment,6013,8.8,E,Rising Star Games,-1.0,,2008.0
Zoo Tycoon 2 DS,Strategy,DS,Winter,0.24,0.03,0.29,Altron,5987,5.4,E,THQ,-1.0,,2008.0
Disgaea 5: Alliance of Vengeance,Role-Playing,PS4,Spring,0.11,0.08,0.29,Nippon Ichi Software,6057,8.1,T,Nippon Ichi Software,-1.0,,2015.0
Puzzle Quest: Challenge of the Warlords,Puzzle,Wii,Spring,0.26,0.0,0.29,Vicious Cycle,6052,6.2,E10+,D3Publisher,-1.0,$9.99,2007.0
Metal Gear Solid V: Ground Zeroes,Action,XOne,Spring,0.15,0.11,0.29,Kojima Productions,6049,5.4,M,Konami Digital Entertainment,-1.0,$13.99,2014.0
World of Tanks,Sports,XB,Spring,0.21,0.06,0.29,Indie Built,6079,9,E,Microsoft Game Studios,1407200.0,$48.99,2003.0
NBA Live 06,Sports,X360,Fall,0.27,0.0,0.29,EA Canada,5970,5.6,E,Electronic Arts,-1.0,,2005.0
RealSports Boxing,Sports,2600,Winter,0.28,0.02,0.29,,5935,,,Atari,-1.0,,1986.0
Rayman 3: Hoodlum Havoc,Platform,PS2,Winter,0.14,0.11,0.29,Ubisoft,6061,8.6,E,Ubisoft,-1.0,$1.49,2003.0
Need for Speed Underground,Racing,GBA,Fall,0.21,0.08,0.29,Pocketeers,5946,8.2,E,Electronic Arts,-1.0,,2003.0
SimCity 2000,Simulation,SAT,Winter,0.0,0.0,0.28,"Gremlin Interactive, Interplay Entertainment",6220,,,Sega,-1.0,$1.49,1994.0
Bratz: Super Babyz,Action,DS,Winter,0.26,0.0,0.28,Creat Studios,6085,tbd,E,THQ,-1.0,,2008.0
Final Fantasy VI Advance,Role-Playing,GBA,Spring,0.0,0.0,0.28,TOSE,6118,8.4,E10+,Nintendo,-1.0,,2006.0
Soul Nomad & the World Eaters,Role-Playing,PS2,Winter,0.14,0.11,0.28,"Nippon Ichi Software, Inc., Codeglue",6195,,,Tecmo Koei,-1.0,$10.00,2007.0
All Star Cheer Squad,Sports,DS,Fall,0.26,0.0,0.28,Gorilla Games,6121,tbd,E,THQ,-1.0,,2008.0
Marvel Nemesis: Rise of the Imperfects,Fighting,XB,Fall,0.21,0.06,0.28,"EA Canada, Nihilistic",6115,7.5,T,Electronic Arts,-1.0,,2005.0
Alien: Isolation,Shooter,X360,Fall,0.15,0.1,0.28,Creative Assembly,6183,8.2,M,Sega,-1.0,$8.80,2014.0
Silent Hill 2: Restless Dreams,Action,XB,Fall,0.21,0.06,0.28,KCET,6191,8.3,M,Konami Digital Entertainment,-1.0,,2001.0
Payday 2,Shooter,PS4,Summer,0.1,0.14,0.28,,6173,,,505 Games,-1.0,$2.18,2015.0
The King of Fighters '95,Fighting,SAT,Summer,0.0,0.0,0.28,SNK CORPORATION,6116,,,SNK Playmore,-1.0,,1995.0
Virtua Fighter 5 Online,Fighting,X360,Summer,0.2,0.02,0.28,Sega AM2,6216,7.6,T,Sega,-1.0,,2007.0
Bladestorm: The Hundred Years' War,Action,PS3,Summer,0.1,0.03,0.28,Omega Force,6130,7.9,T,Tecmo Koei,-1.0,,2007.0
Monopoly Streets,Misc,X360,Winter,0.16,0.09,0.28,Electronic Arts,6199,6.6,E,Electronic Arts,-1.0,,2010.0
FIFA Soccer 07,Sports,X360,Fall,0.24,0.01,0.28,,6244,,,Electronic Arts,-1.0,,2006.0
True Crime: New York City,Action,XB,Fall,0.21,0.06,0.28,Exakt,6230,7.8,M,Activision,-1.0,,2005.0
DeathSmiles,Shooter,X360,Fall,0.15,0.06,0.28,Cave,6124,8.4,T,Rising Star Games,-1.0,$19.99,2009.0
NHL 2002,Sports,XB,Fall,0.2,0.06,0.27,EA Sports,6325,8.8,E,Electronic Arts,-1.0,,2001.0
Mass Effect 3,Role-Playing,WiiU,Spring,0.14,0.11,0.27,BioWare,6350,,,Electronic Arts,-1.0,$7.49,2012.0
Final Doom,Shooter,PS,Summer,0.15,0.1,0.27,,6384,,,GT Interactive,-1.0,,1995.0
Pro Race Driver,Racing,PS2,Summer,0.13,0.1,0.27,Codemasters,6287,8.5,T,Codemasters,-1.0,,2002.0
Ultimate NES Remix,Action,3DS,Winter,0.15,0.09,0.27,Indies Zero,6378,7.6,E,Unknown,-1.0,,2014.0
Duel Masters,Strategy,PS2,Spring,0.13,0.1,0.27,High Voltage Software,6396,8.3,E,Atari,-1.0,,2004.0
Pro Evolution Soccer 2013,Sports,PSP,Fall,0.0,0.07,0.27,Konami,6370,tbd,E,Konami Digital Entertainment,-1.0,,2012.0
Disgaea 3: Absence of Detention,Role-Playing,PSV,Winter,0.11,0.05,0.27,Nippon Ichi Software,6294,7.6,T,Nippon Ichi Software,-1.0,,
Resident Evil 2: Dual Shock Edition,Action,PS,Winter,0.0,0.0,0.27,,6259,,,Capcom,-1.0,,1998.0
Cabela's Trophy Bucks,Sports,PS2,Fall,0.13,0.11,0.27,Sand Grain Studios,6248,tbd,T,Activision Value,-1.0,,2007.0
Batman: Arkham Origins Blackgate,Action,3DS,Fall,0.16,0.09,0.27,Armature Studio,6351,6.8,T,Warner Bros. Interactive Entertainment,-1.0,$3.12,2013.0
The Dog Island,Adventure,PS2,Spring,0.13,0.1,0.27,Yuke's,6401,7,E,Ubisoft,-1.0,,2007.0
Deadly Premonition,Action,X360,Winter,0.18,0.06,0.26,Access Games,6455,8.2,M,Rising Star Games,-1.0,$1.24,2010.0
Fish Tycoon,Simulation,DS,Spring,0.24,0.0,0.26,"LDW, Big Fish Games",6423,7,E,Majesco Entertainment,-1.0,$9.99,2007.0
Oddworld: Stranger's Wrath,Adventure,XB,Winter,0.19,0.06,0.26,Oddworld Inhabitants,6533,9.1,T,Electronic Arts,-1.0,$1.99,2005.0
Madden NFL 2005,Sports,DS,Summer,0.24,0.0,0.26,Exient Entertainment,6579,7.7,E,Electronic Arts,-1.0,,2004.0
Atelier Ayesha: The Alchemist of Dusk,Role-Playing,PS3,Summer,0.06,0.04,0.26,Gust,6536,6.6,T,Tecmo Koei,-1.0,$39.99,2012.0
Ford Racing 3,Racing,PS2,Fall,0.13,0.1,0.26,Razorworks Studios,6461,6.6,E,Take-Two Interactive,-1.0,,2004.0
LEGO Harry Potter: Years 5-7,Action,PSP,Fall,0.1,0.1,0.26,Traveller's Tales,6477,tbd,E10+,Warner Bros. Interactive Entertainment,-1.0,$3.12,
Dynasty Warriors 7: Xtreme Legends,Action,PS3,Spring,0.04,0.04,0.26,Omega Force,6480,7.8,T,Tecmo Koei,-1.0,$19.99,2011.0
Final Fantasy V Advance,Role-Playing,GBA,Winter,0.0,0.0,0.26,TOSE,6473,7.2,E,Nintendo,-1.0,,2006.0
Tom Clancy's Splinter Cell: Double Agent,Action,PS3,Fall,0.2,0.03,0.26,Ubisoft Shanghai,6553,6.5,M,Ubisoft,-1.0,$2.20,2007.0
Resident Evil: Revelations,Action,X360,Winter,0.12,0.1,0.26,Capcom,6545,7.4,M,Capcom,-1.0,$3.91,2013.0
Peter Jackson's King Kong: The Official Game of the Movie,Action,X360,Fall,0.2,0.03,0.26,Ubisoft Montpellier,6559,7.5,T,Ubisoft,-1.0,,2005.0
Rayman DS,Platform,DS,Fall,0.21,0.03,0.26,DC Studios,6561,7.6,E,Ubisoft,-1.0,$5.28,2005.0
Virtua Racing,Racing,GEN,Summer,0.0,0.0,0.26,Dangerous Derk Interactive,6452,,,Sega,-1.0,,1994.0
The Walking Dead: Season Two,Action,Wii,Winter,0.2,0.02,0.25,EA Bright Light,6756,tbd,E,Electronic Arts,261030.0,$12.72,2010.0
NASCAR 09,Racing,PS3,Summer,0.22,0.01,0.25,EA Games,6605,7.5,E,Electronic Arts,-1.0,,2008.0
Galactic Attack,Shooter,SAT,Winter,0.0,0.0,0.25,CITY CONNECTION,6607,,,Acclaim Entertainment,-1.0,$29.99,1994.0
Madden NFL 08,Sports,DS,Summer,0.23,0.0,0.25,Exient Entertainment,6590,tbd,E,Electronic Arts,-1.0,,2007.0
Disgaea 2: Dark Hero Days,Role-Playing,PSP,Winter,0.1,0.01,0.25,Nippon Ichi Software,6735,7.1,T,Nippon Ichi Software,-1.0,,2009.0
NASCAR 09,Racing,X360,Summer,0.23,0.0,0.25,EA Games,6603,7.8,E,Electronic Arts,-1.0,,2008.0
The Bureau: XCOM Declassified,Shooter,PS3,Summer,0.08,0.13,0.25,2K Marin,6691,6.7,M,Take-Two Interactive,-1.0,$3.99,2013.0
Beyblade: Metal Fusion,Role-Playing,DS,Summer,0.07,0.03,0.25,Hudson Soft,6680,tbd,E,Hudson Soft,-1.0,,2009.0
The Bureau: XCOM Declassified,Sports,PS2,,0.12,0.1,0.25,Blue Shift,6692,8.7,E,Sega,65930.0,$3.99,2003.0
Michael Jackson: The Experience,Misc,DS,Fall,0.21,0.02,0.25,Ubisoft,6667,6.6,E10+,Ubisoft,-1.0,,2010.0
Cars: Mater-National Championship,Racing,PS2,Fall,0.12,0.09,0.25,Rainbow Studios,6726,tbd,E,THQ,-1.0,$17.59,2007.0
The Elder Scrolls IV: Oblivion,Role-Playing,PC,Spring,0.01,0.2,0.25,Bethesda Softworks,6584,8.1,M,Take-Two Interactive,-1.0,$12.59,2006.0
Sega Rally Revo,Racing,PSP,Fall,0.03,0.15,0.25,Bugbear,6596,7.2,E,Sega,-1.0,,2007.0
Sid Meier's Civilization VI,Strategy,PC,Fall,0.09,0.13,0.25,Firaxis Games,6754,7.3,E10+,Take-Two Interactive,-1.0,$2.39,2016.0
WipEout XL,Racing,PS,Fall,0.14,0.1,0.25,Psygnosis,6632,8.7,,Psygnosis,-1.0,,1996.0
Marvel: Ultimate Alliance 2,Role-Playing,PSP,Fall,0.17,0.04,0.25,Savage Entertainment,6743,tbd,T,Activision,-1.0,,2009.0
X-Men Legends II: Rise of Apocalypse,Role-Playing,GC,Fall,0.19,0.05,0.25,Raven Software,6747,6.2,T,Activision,-1.0,,2005.0
PlayStation VR Worlds,Misc,PS4,Fall,0.06,0.14,0.25,Sony Interactive Entertainment,6639,7.1,M,Sony Computer Entertainment,-1.0,,2016.0
The Sims 2,Simulation,XB,Fall,0.19,0.05,0.25,Maxis,6688,7.1,T,Electronic Arts,-1.0,$29.99,2005.0
Need for Speed Rivals,Racing,PC,Fall,0.04,0.19,0.25,Ghost Games,6683,3.3,E10+,Electronic Arts,-1.0,$1.49,2013.0
Final Fantasy XI: Chains of Promathia,Role-Playing,PS2,Spring,0.12,0.09,0.25,Square Enix,6741,8,T,Square Enix,-1.0,,2004.0
Samurai Shodown II,Fighting,NG,Fall,0.0,0.0,0.25,,6664,,,SNK,-1.0,$1.79,1994.0
Danganronpa: Trigger Happy Havoc,Misc,PSP,Fall,0.0,0.0,0.24,"Spike Chunsoft Co., Ltd., Abstraction Games",6900,,,Unknown,-1.0,$19.99,
Harvest Moon: Another Wonderful Life,Role-Playing,GC,Fall,0.19,0.05,0.24,Marvelous,6843,9.2,E,Marvelous Interactive,-1.0,,2004.0
Peter Jackson's King Kong: The Official Game of the Movie,Action,GC,Fall,0.19,0.05,0.24,Ubisoft Montpellier,6821,8.3,T,Ubisoft,-1.0,,2005.0
FIFA 14,Sports,3DS,Fall,0.0,0.22,0.24,,6872,,,Electronic Arts,-1.0,,2013.0
BioShock 2,Shooter,PC,Winter,0.02,0.19,0.24,2K Marin,6819,8,M,Take-Two Interactive,-1.0,$16.79,
PGA Tour 96,Sports,PS,Fall,0.13,0.09,0.24,,6904,,,Electronic Arts,-1.0,,1995.0
Genma Onimusha,Action,XB,Winter,0.14,0.04,0.24,Capcom,6805,8.6,M,Capcom,-1.0,,2002.0
Kill.Switch,Shooter,XB,Fall,0.18,0.05,0.24,Namco,6818,8,T,Namco Bandai Games,-1.0,,2003.0
Panzer General,Strategy,PS,Winter,0.14,0.09,0.24,Flashback Games,6782,,,Mindscape,-1.0,$2.49,1995.0
Total War: Attila,Action,XB,Winter,0.18,0.05,0.24,Adrenium,6830,8.5,T,Microsoft Game Studios,325610.0,$9.90,2001.0
Harvest Moon: Magical Melody,Simulation,GC,Fall,0.19,0.05,0.24,Marvelous,6803,8.9,E,Ubisoft,-1.0,,2005.0
NASCAR 08,Racing,PS2,Summer,0.12,0.09,0.24,EA Tiburon,6936,8.2,E,Electronic Arts,-1.0,,2007.0
Dynasty Warriors 7,Action,X360,Spring,0.16,0.06,0.24,Omega Force,6827,8,T,Tecmo Koei,-1.0,$19.99,2011.0
Rocket League,Sports,XOne,Summer,0.05,0.17,0.24,Psyonix,6892,8.3,E,505 Games,-1.0,$4.99,2016.0
Madden NFL 06,Sports,GBA,Summer,0.17,0.06,0.23,Exient Entertainment,7016,tbd,E,Electronic Arts,-1.0,,2005.0
Killer is Dead,Action,PS3,Summer,0.12,0.03,0.23,Grasshopper Manufacture,7118,7.9,M,Deep Silver,-1.0,$1.99,2013.0
Spec Ops: The Line,Shooter,PC,Summer,0.11,0.09,0.23,Yager,7105,8.2,M,Take-Two Interactive,-1.0,,2012.0
Toukiden Kiwami,Action,PSV,Summer,0.02,0.02,0.23,"Omega Force, Koei Tecmo Games",7085,8.6,T,Tecmo Koei,-1.0,$59.99,2014.0
Dark Souls II,Role-Playing,XOne,Spring,0.14,0.07,0.23,,7086,,,Namco Bandai Games,-1.0,$39.99,2015.0
NASCAR 08,Racing,PS3,Summer,0.15,0.05,0.23,EA Tiburon,7022,5,E,Electronic Arts,-1.0,,2007.0
XCOM 2,Role-Playing,SAT,Winter,0.0,0.0,0.23,"Firaxis Games, Feral Interactive (Mac), Feral Interactive (Linux)",6997,,,Kadokawa Shoten,268500.0,$2.40,1996.0
XCOM 2,Strategy,PC,Winter,0.09,0.12,0.23,Firaxis Games,6996,7.1,T,Take-Two Interactive,-1.0,$2.40,2016.0
Tom Clancy's Rainbow Six: Rogue Spear,Shooter,PS,Fall,0.13,0.09,0.23,"Red Storm Entertainment, Ubisoft Montreal",7003,,,Ubisoft,-1.0,,2001.0
Big Family Games,Misc,Wii,Winter,0.0,0.22,0.23,Maxis,6953,,,THQ,-1.0,,2009.0
Super R-Type,Shooter,SNES,Winter,0.0,0.0,0.23,"Studio Wildcard, Grove Street Games, Instinct Games",7069,,,Nintendo,-1.0,,1991.0
Final Fantasy XI: Treasures of Aht Urhgan,Role-Playing,PS2,Spring,0.06,0.05,0.23,Square Enix,7062,7.1,T,Square Enix,-1.0,,2006.0
Pinball Hall of Fame: The Gottlieb Collection,Misc,PSP,Winter,0.2,0.01,0.23,Farsight Studios,7081,8.1,E,Play It,-1.0,,2005.0
Disgaea: Afternoon of Darkness,Role-Playing,PSP,Winter,0.15,0.01,0.23,Nippon Ichi Software,7083,8.2,T,Tecmo Koei,-1.0,,2006.0
The Legend of Heroes: Trails of Cold Steel,Role-Playing,PSV,Fall,0.05,0.02,0.23,Falcom,6975,7.5,T,Nippon Ichi Software,-1.0,$19.99,2013.0
Ninja Gaiden Sigma,Action,PSV,Spring,0.1,0.05,0.23,,7095,,,Tecmo Koei,-1.0,,2012.0
World Series of Poker 2008: Battle for the Bracelets,Misc,PS2,Fall,0.11,0.09,0.23,Left Field Productions,7037,tbd,T,Activision,-1.0,,2007.0
Hot Wheels: Beat That!,Racing,DS,Fall,0.21,0.0,0.23,Human Soft,7060,tbd,E,Activision,-1.0,,2007.0
BlowOut,Shooter,PS2,Fall,0.11,0.09,0.23,Terminal Reality,7075,6.2,T,Zoo Digital Publishing,-1.0,$3.49,2003.0
Prince of Persia: The Forgotten Sands,Action,Wii,Spring,0.1,0.11,0.23,Ubisoft Quebec,6948,8.1,T,Ubisoft,-1.0,$2.00,2010.0
Star Wars Jedi Knight II: Jedi Outcast,Shooter,GC,Spring,0.18,0.05,0.23,Vicarious Visions,6985,7.8,T,Activision,-1.0,$8.46,2002.0
The Legend of Heroes: Trails in the Sky First Chapter,Role-Playing,PSP,Summer,0.1,0.03,0.22,Nihon Falcom,7292,,,Ghostlight,-1.0,,2006.0
Duel Masters: Kaijudo Showdown,Misc,GBA,Spring,0.16,0.06,0.22,Mistic Software,7193,tbd,E,Atari,-1.0,,2004.0
Muramasa: The Demon Blade,Role-Playing,PSV,Spring,0.1,0.0,0.22,Daemin N,7194,,,Marvelous Entertainment,-1.0,,2013.0
Mobile Suit Gundam Seed,Action,PS2,Spring,0.0,0.0,0.22,Bandai Namco Forge Digitals Inc.,7179,,,Namco Bandai Games,-1.0,$32.99,2003.0
Naruto Shippuden: Ultimate Ninja Storm Revolution,Fighting,X360,Fall,0.14,0.06,0.22,CyberConnect2,7263,7.3,T,Namco Bandai Games,-1.0,$8.29,2014.0
Dinosaur King,Strategy,DS,Winter,0.2,0.0,0.22,Climax Entertainment,7197,8,E,Sega,-1.0,,2007.0
Rugby 2004,Sports,PS2,Fall,0.11,0.08,0.22,HB Studios Multimedia,7252,6.8,E,Electronic Arts,-1.0,,2003.0
Capcom vs. SNK,Fighting,DC,Summer,0.0,0.0,0.22,Capcom,7231,9,T,Virgin Interactive,-1.0,,2000.0
Darksiders II,Action,PS4,Summer,0.09,0.1,0.22,"Gunfire Games, Vigil Games, THQ Nordic",7160,,,Nordic Games,-1.0,$6.99,2015.0
LEGO Harry Potter: Years 5-7,Action,PC,Fall,0.05,0.14,0.22,Traveller's Tales,7211,8.5,E10+,Warner Bros. Interactive Entertainment,-1.0,$3.12,
Dishonored 2,Action,XOne,Fall,0.12,0.08,0.22,Arkane Studios,7234,6.8,M,Bethesda Softworks,-1.0,$5.99,2016.0
The King of Fighters '96,Fighting,SAT,Summer,0.0,0.0,0.21,SNK CORPORATION,7411,,,SNK,-1.0,,1996.0
Cabela's Deer Hunt: 2004 Season,Sports,XB,Summer,0.16,0.05,0.21,FUN Labs,7394,8.4,T,Activision Value,-1.0,,2003.0
Atelier Escha & Logy: Alchemists of the Dusk Sky,Role-Playing,PS3,Summer,0.06,0.03,0.21,"KOEI TECMO GAMES CO., LTD.",7357,,,Tecmo Koei,-1.0,$39.99,2013.0
Deus Ex: The Conspiracy,Action,PS2,Summer,0.1,0.08,0.21,Ion Storm,7429,8.9,M,Eidos Interactive,-1.0,,2002.0
Pro Evolution Soccer 2012,Action,Wii,Fall,0.08,0.08,0.21,Konami,7404,7,E,Konami Digital Entertainment,-1.0,,2011.0
The Wolf Among Us,Adventure,PS4,Fall,0.1,0.07,0.21,Telltale Games,7408,8.4,M,Telltale Games,-1.0,$5.72,2014.0
Final Fight One,Fighting,GBA,Fall,0.09,0.03,0.21,Sun-Tec,7479,7.8,E,Ubisoft,-1.0,,2001.0
The Bureau: XCOM Declassified,Shooter,X360,Summer,0.1,0.1,0.21,2K Marin,7339,6.7,M,Take-Two Interactive,-1.0,$3.99,2013.0
Danganronpa Another Episode: Ultra Despair Girls,Action,PSV,Fall,0.06,0.01,0.21,Spike Chunsoft,7403,8.4,M,Nippon Ichi Software,-1.0,$29.99,2014.0
Assassin's Creed Syndicate,Action,PC,Fall,0.11,0.09,0.21,Ubisoft Quebec,7384,5.9,M,Ubisoft,-1.0,$6.60,2015.0
Pac-Man World 3,Platform,PS2,Fall,0.1,0.08,0.21,Blitz Games,7362,5.2,E,Namco Bandai Games,-1.0,,2005.0
Tenchu: Return From Darkness,Action,XB,Spring,0.16,0.05,0.21,K2 LLC,7347,7,M,Activision,-1.0,,2004.0
Madden NFL 07,Sports,DS,Summer,0.2,0.0,0.21,Exient Entertainment,7373,6.5,E,Electronic Arts,-1.0,,2006.0
Odin Sphere: Leifthrasir,Role-Playing,PS4,Spring,0.07,0.04,0.2,Vanillaware,7586,8.2,T,Nippon Ichi Software,-1.0,,2016.0
Zombie Army Trilogy,Adventure,X360,Spring,0.1,0.08,0.2,Rebellion,7541,,,Ubisoft,301640.0,$5.19,2009.0
The King of Fighters '95,Fighting,NG,Summer,0.0,0.0,0.2,SNK CORPORATION,7500,,,SNK,-1.0,,1995.0
Saints Row IV,Action,XOne,Summer,0.1,0.09,0.2,,7514,,,Deep Silver,-1.0,$16.28,2015.0
Need for Speed Carbon: Own the City,Racing,DS,Fall,0.17,0.01,0.2,Exient Entertainment,7547,7.5,E,Electronic Arts,-1.0,,2006.0
Neighborhood Games,Misc,Wii,Winter,0.17,0.02,0.2,Jet Black Games,7670,tbd,E,THQ,-1.0,,2009.0
Bust-A-Move 2 Arcade Edition,Puzzle,PS,Winter,0.11,0.07,0.2,CITY CONNECTION,7660,,,Acclaim Entertainment,-1.0,$14.99,1995.0
International Superstar Soccer 2000,Sports,PS2,Summer,0.0,0.0,0.2,Invincibles Studio Ltd,7524,,,Konami Digital Entertainment,-1.0,,2000.0
Dying Light,Action,PC,Winter,0.12,0.06,0.2,Techland,7640,7.9,M,Warner Bros. Interactive Entertainment,-1.0,$8.99,2015.0
Marvel: Ultimate Alliance 2,Role-Playing,DS,Fall,0.16,0.03,0.2,n-Space,7619,6.7,E10+,Activision,-1.0,,2009.0
The Legend of Heroes: Trails of Cold Steel,Role-Playing,PS3,Fall,0.05,0.02,0.2,Falcom,7616,7.7,T,Nippon Ichi Software,-1.0,$19.99,2013.0
Baldur's Gate: Dark Alliance,Role-Playing,XB,Winter,0.15,0.04,0.2,Snowblind Studios,7693,8.3,T,Virgin Interactive,-1.0,$29.99,2002.0
Wedding Dash,Action,DS,Fall,0.19,0.0,0.2,Zoo Games,7501,tbd,E,Zoo Games,-1.0,$9.99,2009.0
Phantasy Star Online,Role-Playing,DC,Winter,0.0,0.0,0.2,Sonic Team,7521,9.1,T,Sega,8500.0,,2000.0
South Park: The Stick of Truth,Role-Playing,PC,Spring,0.07,0.1,0.19,Obsidian Entertainment,7839,8.6,M,Ubisoft,-1.0,$6.60,2014.0
Phantasy Star Online Ver. 2,Role-Playing,DC,Winter,0.0,0.0,0.19,Sonic Team,7978,8.9,T,Sega,-1.0,,2001.0
Saints Row IV,Action,PC,Summer,0.11,0.06,0.19,Volition Inc.,7956,7.4,M,Deep Silver,-1.0,$16.28,2013.0
Mafia III,Action,PC,Fall,0.08,0.1,0.19,Hangar 13,7779,3.2,M,Take-Two Interactive,-1.0,$39.99,2016.0
Peter Jackson's King Kong: The Official Game of the Movie,Action,PSP,Fall,0.16,0.01,0.19,Phoenix Games Studio,7790,6.4,T,Ubisoft,-1.0,,2005.0
Injustice: Gods Among Us,Fighting,WiiU,Spring,0.09,0.08,0.19,NetherRealm Studios,7860,7.9,T,Warner Bros. Interactive Entertainment,-1.0,$3.12,2013.0
Quake,Action,X360,Summer,0.15,0.03,0.19,,7832,,,THQ,2310.0,$3.99,2011.0
Fighter Within,Fighting,XOne,Fall,0.11,0.07,0.19,Ubisoft,7791,3,T,Ubisoft,-1.0,,2013.0
