Name,Genre,Platform,Release_Season,NA_Sales_Millions,EU_Sales_Millions,Global_Sales_Millions,Developer,Original_Index,User_Score,Rating,Publisher,Steam_App_ID,Price,Year_of_Release
Rhapsody: A Musical Adventure,Role-Playing,DS,Winter,0.05,0.0,0.05,Nippon Ichi Software,12994,6.8,E,Nippon Ichi Software,-1.0,$11.99,2008.0
Utawarerumono: Itsuwari no Kamen,Adventure,PS3,Fall,0.0,0.0,0.05,AQUAPLUS,13314,,,Aqua Plus,-1.0,,2015.0
Pinball Hall of Fame: The Gottlieb Collection,Misc,GC,Winter,0.04,0.01,0.05,,13042,,,Crave Entertainment,-1.0,,2005.0
Worms World Party,Strategy,GBA,Spring,0.04,0.01,0.05,Fluid Studios,12866,tbd,E,Ubisoft,-1.0,$14.99,2002.0
The Lost Vikings,Puzzle,GBA,Spring,0.04,0.01,0.05,Mass Media,13189,9.1,E,Activision,-1.0,,2003.0
Gem Smashers,Platform,Wii,Summer,0.04,0.0,0.05,Frame Studios Interactive,13362,tbd,E,Crave Entertainment,13520.0,$15.95,2011.0
Cities in Motion,Simulation,PC,Winter,0.0,0.04,0.05,Colossal Order,13050,7.7,E,Paradox Interactive,-1.0,$5.99,2011.0
Mortal Kombat X,Fighting,PC,Spring,0.01,0.04,0.05,High Voltage Software,13048,5.1,M,Warner Bros. Interactive Entertainment,-1.0,$3.12,2015.0
Hitman (2016),Action,PS4,Spring,0.0,0.04,0.05,,13485,,,Square Enix,-1.0,,2016.0
Super Bubble Pop,Puzzle,GC,Winter,0.04,0.01,0.05,Runecraft,13400,tbd,E,Jaleco,-1.0,,2003.0
Bakusou Kyoudai Let's & Go!! Eternal Wings,Racing,PS,Summer,0.0,0.0,0.05,,13124,,,Jaleco,-1.0,,1998.0
ESPN International Winter Sports 2002,Sports,GC,Winter,0.04,0.01,0.05,KCEO,13151,tbd,E,Konami Digital Entertainment,-1.0,,2002.0
Toukiden Kiwami,Action,PSP,Summer,0.0,0.0,0.05,"KOEI TECMO GAMES CO., LTD.",13452,,,Tecmo Koei,-1.0,$59.99,2014.0
Hearts of Iron IV,Simulation,GBA,Summer,0.04,0.01,0.05,Raylight Studios,12893,8.3,T,"Destination Software, Inc",394360.0,$38.89,2003.0
Tom Clancy's Rainbow Six: Lockdown,Shooter,GC,Fall,0.04,0.01,0.05,"Red Storm Entertainment, Ubisoft Montreal",13389,7.8,M,Ubisoft,-1.0,$2.50,2005.0
Test Drive Le Mans,Racing,PS,Fall,0.03,0.02,0.05,"iRacing.com Motorsport Simulations, iRacing",13410,,,Infogrames,-1.0,,1999.0
XCOM 2,Strategy,XOne,Winter,0.02,0.02,0.05,Firaxis Games,13414,8.1,T,Take-Two Interactive,-1.0,$2.40,2016.0
Steins;Gate 0,Adventure,PS4,Winter,0.0,0.0,0.05,5pb,13144,8.3,M,PQube,-1.0,$29.99,2015.0
Ys: The Ark of Napishtim,Role-Playing,PSP,Fall,0.04,0.0,0.05,Konami Software Shanghai,13382,7.3,E10+,Konami Digital Entertainment,-1.0,$4.48,2006.0
Top Spin 2,Sports,DS,Spring,0.05,0.0,0.05,Indie Built,13126,tbd,E,Take-Two Interactive,-1.0,$17.32,2006.0
Resident Evil 6,Shooter,XOne,Fall,0.04,0.0,0.05,Capcom,13478,6.3,M,Capcom,-1.0,$4.99,2016.0
Zoop,Puzzle,PS,Winter,0.03,0.02,0.05,Warfare Studios,13309,,,MediaQuest,-1.0,$2.00,1995.0
FIFA Street 2,Sports,DS,Winter,0.04,0.0,0.04,Exient Entertainment,13599,7.5,E,Electronic Arts,-1.0,,2006.0
Chicken Shoot,Action,GBA,Winter,0.03,0.01,0.04,ToonTRAXX Studios,13588,,,Zoo Digital Publishing,-1.0,$4.12,2005.0
Front Mission,Strategy,DS,Winter,0.01,0.0,0.04,Square Enix,13530,8.9,E10+,Square Enix,-1.0,$17.49,2007.0
The King of Fighters 2000,Fighting,PS2,Winter,0.0,0.0,0.04,SNK CORPORATION,13558,,,Playmore,-1.0,$1.79,2002.0
APB Reloaded,Shooter,GBA,Winter,0.03,0.01,0.04,Red Storm Entertainment,14014,tbd,T,Ubisoft,113400.0,,2002.0
The King of Fighters 2002: Unlimited Match,Fighting,PS2,Winter,0.0,0.0,0.04,"SNK CORPORATION, Code Mystics",13498,,,SNK Playmore,-1.0,$2.24,2009.0
Terraria,Action,XOne,Spring,0.0,0.04,0.04,Engine Software,13788,7.7,T,505 Games,-1.0,$9.18,2014.0
Resident Evil 6,Shooter,PC,Fall,0.0,0.04,0.04,"Capcom, QLOC",13676,5.9,M,Capcom,-1.0,$4.99,2012.0
Psycho-Pass: Mandatory Happiness,Adventure,PS4,Spring,0.03,0.0,0.04,5pb,13777,8.3,T,Nippon Ichi Software,-1.0,$4.00,2016.0
Puyo Pop Fever,Puzzle,PSP,Fall,0.0,0.0,0.04,Sonic Team,13669,,,Ignition Entertainment,-1.0,,2004.0
Hyperdimension Neptunia mk2,Action,PSV,Summer,0.0,0.0,0.04,Preapp Partners,13559,,,Compile Heart,-1.0,,2014.0
FlatOut 2,Racing,XB,Summer,0.03,0.01,0.04,Bugbear,13573,7.3,T,Empire Interactive,-1.0,$1.99,2006.0
Yowamushi Pedal,Action,3DS,Summer,0.0,0.0,0.04,,13590,,,Namco Bandai Games,-1.0,,2015.0
Brothers: A Tale of Two Sons,Adventure,XOne,Summer,0.03,0.01,0.04,Starbreeze,13644,8.9,T,505 Games,-1.0,$9.33,2015.0
Trine 2,Platform,PC,Winter,0.0,0.03,0.04,"Frozenbyte, Inc.",14062,8.4,E10+,Focus Home Interactive,-1.0,$9.99,2011.0
Company of Heroes: Opposing Fronts,Shooter,X360,Fall,0.0,0.0,0.04,Relic Entertainment,13791,,,Alchemist,9340.0,$19.99,2011.0
The Legend of Heroes: Trails in the Sky First Chapter,Role-Playing,PS3,Summer,0.0,0.0,0.04,Nihon Falcom,13830,,,Falcom Corporation,-1.0,,2012.0
Rhapsody: A Musical Adventure,Role-Playing,PS,Winter,0.02,0.01,0.04,"Nippon Ichi Software, Inc., Engine Software BV",14048,,,Nippon Ichi Software,-1.0,$11.99,1998.0
Galaxy Fight,Fighting,SAT,Winter,0.0,0.0,0.04,NetEase Games,14025,,,Sunsoft,-1.0,$6.19,1994.0
Resident Evil: Revelations,Action,PC,Winter,0.0,0.04,0.04,Capcom,13842,7,M,Capcom,-1.0,$3.91,2013.0
Devil May Cry 4,Action,PC,Winter,0.01,0.02,0.04,Capcom,13748,8.5,M,Capcom,-1.0,$15.99,2008.0
Big Mutha Truckers,Racing,GBA,Winter,0.03,0.01,0.04,,14000,,,Zoo Digital Publishing,-1.0,$7.34,2005.0
PopStar Guitar,Misc,PS2,Winter,0.02,0.01,0.04,XS Games,13907,tbd,T,XS Games,-1.0,,2008.0
Adidas Power Soccer,Sports,PS,Winter,0.02,0.01,0.04,,13963,,,Psygnosis,-1.0,,1996.0
Art of Fighting 3: The Path of the Warrior,Fighting,NG,Winter,0.0,0.0,0.04,"CAPCOM Co., Ltd.",13969,,,SNK,-1.0,$4.79,1996.0
Gem Smashers,Platform,3DS,Summer,0.04,0.0,0.04,Frame Studios Interactive,13574,tbd,E,Crave Entertainment,-1.0,$15.95,2011.0
DuckTales: Remastered,Action,X360,Summer,0.03,0.0,0.04,WayForward,13881,,,Capcom,-1.0,$3.15,2013.0
