Name,Platform,Global_Sales_Millions,EU_Sales_Millions,NA_Sales_Millions,Publisher,Release_Season,Original_Index,Steam_App_ID
Marvel: Ultimate Alliance,PS2,0.82,0.03,0.69,Activision,Fall,2505,
Oddworld: Munch's Oddysee,GBA,0.06,0.02,0.04,THQ,Fall,12609,
Ford Racing 3,GBA,0.06,0.02,0.04,Zoo Digital Publishing,Fall,12603,
Pro Evolution Soccer 2010,X360,0.81,0.58,0.12,Konami Digital Entertainment,Fall,2541,
The Sims 2,PS2,0.81,0.03,0.67,Electronic Arts,Fall,2551,
Harvest Moon: A Wonderful Life,GC,0.79,0.16,0.61,Ubisoft,Fall,2584,
Naruto Shippuden: Ultimate Ninja Storm 2,PS3,1.21,0.46,0.42,Namco Bandai Games,Fall,1664,
Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,0.43,0.14,0.15,Namco Bandai Games,Fall,4490,
Kidou Senshi Gundam 00,DS,0.08,0.0,0.0,Namco Bandai Games,Fall,11325,
Danganronpa: Trigger Happy Havoc,PSP,0.24,0.0,0.0,Unknown,Fall,6900,
PGA Tour 96,PS,0.24,0.09,0.13,Electronic Arts,Fall,6904,
The Legend of Heroes: Trails of Cold Steel,PSV,0.23,0.02,0.05,Nippon Ichi Software,Fall,6975,
Tom Clancy's Rainbow Six: Rogue Spear,PS,0.23,0.09,0.13,Ubisoft,Fall,7003,
NHL 2002,GBA,0.12,0.03,0.09,Electronic Arts,Fall,9697,
World Series of Poker 2008: Battle for the Bracelets,PS2,0.23,0.09,0.11,Activision,Fall,7037,
Hot Wheels: Beat That!,DS,0.23,0.0,0.21,Activision,Fall,7060,
Clock Tower: The First Fear,PS,0.12,0.0,0.0,Human Entertainment,Fall,9674,
BlowOut,PS2,0.23,0.09,0.11,Zoo Digital Publishing,Fall,7075,
Need for Speed: ProStreet,DS,0.12,0.01,0.11,Electronic Arts,Fall,9668,
Drome Racers,PS2,0.13,0.05,0.06,Electronic Arts,Fall,9606,
FIFA 14,3DS,0.24,0.22,0.0,Electronic Arts,Fall,6872,
Gunstar Heroes,GEN,0.13,0.0,0.0,Sega,Fall,9564,
All Star Cheer Squad 2,Wii,0.13,0.0,0.12,THQ,Fall,9497,
Venetica,X360,0.13,0.03,0.09,DTP Entertainment,Fall,9481,
LEGO Harry Potter: Years 5-7,PC,0.22,0.14,0.05,Warner Bros. Interactive Entertainment,Fall,7211,
Dishonored 2,XOne,0.22,0.08,0.12,Bethesda Softworks,Fall,7234,
Rugby 2004,PS2,0.22,0.08,0.11,Electronic Arts,Fall,7252,
Naruto Shippuden: Ultimate Ninja Storm Revolution,X360,0.22,0.06,0.14,Namco Bandai Games,Fall,7263,
NHL 2003,GC,0.13,0.03,0.1,Electronic Arts,Fall,9398,
Pac-Man World 3,PS2,0.21,0.08,0.1,Namco Bandai Games,Fall,7362,
Assassin's Creed Syndicate,PC,0.21,0.09,0.11,Ubisoft,Fall,7384,
Peter Jackson's King Kong: The Official Game of the Movie,DS,0.13,0.0,0.12,Ubisoft,Fall,9393,
Danganronpa Another Episode: Ultra Despair Girls,PSV,0.21,0.01,0.06,Nippon Ichi Software,Fall,7403,
Tom Clancy's Splinter Cell: Double Agent,Wii,0.13,0.01,0.1,Ubisoft,Fall,9551,
Harvest Moon: Another Wonderful Life,GC,0.24,0.05,0.19,Marvelous Interactive,Fall,6843,
Peter Jackson's King Kong: The Official Game of the Movie,GC,0.24,0.05,0.19,Ubisoft,Fall,6821,
Venetica,PS3,0.12,0.03,0.07,DTP Entertainment,Fall,9790,
Pro Evolution Soccer 2013,PSP,0.27,0.07,0.0,Konami Digital Entertainment,Fall,6370,
Tom Clancy's Rainbow Six: Rogue Spear,GBA,0.11,0.03,0.08,Ubisoft,Fall,10046,
Ford Racing 3,PS2,0.26,0.1,0.13,Take-Two Interactive,Fall,6461,
Persona 5,PS3,0.11,0.0,0.0,Unknown,Fall,10030,
LEGO Harry Potter: Years 5-7,PSP,0.26,0.1,0.1,Warner Bros. Interactive Entertainment,Fall,6477,
F1 Racing Championship,PS,0.11,0.04,0.06,Video System,Fall,10006,
Tom Clancy's Splinter Cell: Double Agent,PS3,0.26,0.03,0.2,Ubisoft,Fall,6553,
Peter Jackson's King Kong: The Official Game of the Movie,X360,0.26,0.03,0.2,Ubisoft,Fall,6559,
Rayman DS,DS,0.26,0.03,0.21,Ubisoft,Fall,6561,
Turok: Evolution,GBA,0.12,0.03,0.08,Acclaim Entertainment,Fall,9934,
Sega Rally Revo,PSP,0.25,0.15,0.03,Sega,Fall,6596,
Akiba's Trip: Undead & Undressed,PS4,0.12,0.0,0.08,Acquire,Fall,9886,
WipEout XL,PS,0.25,0.1,0.14,Psygnosis,Fall,6632,
PlayStation VR Worlds,PS4,0.25,0.14,0.06,Sony Computer Entertainment,Fall,6639,
Samurai Shodown II,NG,0.25,0.0,0.0,SNK,Fall,6664,
Michael Jackson: The Experience,DS,0.25,0.02,0.21,Ubisoft,Fall,6667,
Need for Speed Rivals,PC,0.25,0.19,0.04,Electronic Arts,Fall,6683,
The Sims 2,XB,0.25,0.05,0.19,Electronic Arts,Fall,6688,
Cars: Mater-National Championship,PS2,0.25,0.09,0.12,THQ,Fall,6726,
Marvel: Ultimate Alliance 2,PSP,0.25,0.04,0.17,Activision,Fall,6743,
X-Men Legends II: Rise of Apocalypse,GC,0.25,0.05,0.19,Activision,Fall,6747,
