Name,Steam_App_ID
Halo: Combat Evolved Anniversary,
Tetris Plus,
Pro Wrestling,
Theme Hospital,
Frogger's Adventures: Temple of the Frog,
Monopoly,
,
Guitar Hero,
Madden NFL 11,
WCW/nWo Revenge,
Yu-Gi-Oh! The Duelists of the Roses,
Dead Island,
Half-Life 2,220
The Incredibles,
Madden NFL 08,
Tony Hawk's Underground 2,
Zumba Fitness,
Madden NFL 10,
Kirby's Dream Land 2,
Midnight Club: Los Angeles,
Donkey Kong Land II,
Dragon Warrior Monsters,
Kinect: Disneyland Adventures,
WWE SmackDown vs Raw 2008,
The Legend of Zelda: Majora's Mask 3D,
LEGO Indiana Jones: The Original Adventures,
Resident Evil - Code: Veronica X,
NBA 2K16,
Kinect Sports: Season Two,
My Fitness Coach,
Mario Tennis,
Grand Theft Auto,
James Bond 007: Everything or Nothing,
Need For Speed: High Stakes,
Chrono Trigger,
Guild Wars 2,1284210
Cool Boarders 3,
Paper Mario: Sticker Star,
WarioWare Touched!,
Batman: Arkham Origins,209000
Tomb Raider II,
Yokai Watch Busters,
LEGO Star Wars: The Complete Saga,
Need for Speed Underground 2,
Pro Evolution Soccer 2010,
Mario Bros.,
FIFA Soccer 09,
LEGO Harry Potter: Years 1-4,
The Sims 3,47890
Pokemon Ranger: Shadows of Almia,
TOCA Touring Car Championship,
Dead Island,
Kirby: Nightmare in Dream Land,
Wario Land 4,
Sonic's Ultimate Genesis Collection,
Far Cry: Primal,
Battlefield 1,1238840
Onimusha 2: Samurai's Destiny,
Cool Boarders 2,
Paper Mario: The Thousand-Year Door,
Madden NFL 12,
God of War: Ascension,
Guitar Hero III: Legends of Rock,
Sonic Advance,
Super Monkey Ball: Banana Blitz,
Just Dance Kids,
Call of Duty 3,
New Super Luigi U,
Assassin's Creed IV: Black Flag,
Spyro: Season of Ice,
Dissidia: Final Fantasy,
Madden NFL 25,
Teenage Mutant Ninja Turtles II: The Arcade Game,
Dance Dance Revolution X2,
Borderlands 2,49520
Prince of Persia: The Sands of Time,
Monster Hunter Tri,
LEGO Marvel Super Heroes,249130
The Legend of Zelda: Link's Awakening DX,
Resident Evil 4,2050650
Tom Clancy's Rainbow Six: Siege,
Star Wars: The Force Unleashed,
Devil May Cry 3: Dante's Awakening Special Edition,
Frogger,
Guitar Hero II,
Forza Motorsport 5,
Rock Band 2,
Pro Yakyuu Family Stadium,
Wario Land 3,
Need for Speed: Hot Pursuit,47870
LEGO Indiana Jones: The Original Adventures,
BioShock 2,8850
High School Musical: Makin' the Cut!,
Star Wars: Knights of the Old Republic,
Kirby's Pinball Land,
Donkey Kong Country,
Madden NFL 15,
Pro Evolution Soccer 2012,
Saints Row,
Yu-Gi-Oh: Duel Monsters 4,
ATV Offroad Fury 2,
FIFA 15,
Mario & Luigi: Superstar Saga,
Star Wars: Rogue Squadron,
Tennis,
Tom Clancy's The Division,
Final Fantasy XIII,
The Sims: House Party,
Scribblenauts,
Sonic Unleashed,
Syphon Filter 2,
Pokemon Ranger,
Volleyball,
Skylanders SWAP Force,
Overwatch,
Hitman: Absolution,203140
SimCity 2000,
R.C. Pro-Am,
Super Mario RPG: Legend of the Seven Stars,
Mahjong,
Demon Attack,
Call of Duty: Roads to Victory,
Dance Dance Revolution Extreme,
Final Fantasy Tactics Advance,
Your Shape featuring Jenny McCarthy,
Project Gotham Racing,
Golf,
NBA 2K12,
Tony Hawk's Pro Skater,
Need for Speed: Hot Pursuit 2,
PES 2009: Pro Evolution Soccer,
Dynasty Warriors 4,
NBA 2K14,
Parasite Eve,
Tetris DS,
Project Gotham Racing (JP weekly sales),
Scooby-Doo! Night of 100 Frights,
Battlefield: Hardline,
Mortal Kombat,
Borderlands,
Devil May Cry 3: Dante's Awakening,
Derby Stallion,
NBA 2K11,
Finding Nemo,
Dying Light,239140
Yokai Watch,
Dead Rising,
World of Warcraft: Cataclysm,
Tetris Worlds,
Final Fantasy III,
Sim Theme Park,
Mario Party 5,
Rock Band,
Warcraft: Orcs & Humans,
Mario & Luigi: Dream Team,
Portal 2,620
Mario Sports Mix,
Need for Speed: Most Wanted 5-1-0,
Spec Ops: Airborne Commando,
The Sims 2: Pets,
Dance Dance Revolution: Hottest Party,
DriveClub,
Yu-Gi-Oh! The Eternal Duelist Soul,
UFC 2009 Undisputed,
Metal Gear Solid: Peace Walker,
Kirby's Epic Yarn,
Wipeout: The Game,
Pokemon Mystery Dungeon: Red/Blue Rescue Team,
The Incredibles,
R4: Ridge Racer Type 4,
Kingdom Hearts: Birth by Sleep,
Tom Clancy's Splinter Cell: Conviction,
SoulCalibur II,
Need for Speed: ProStreet,
Sonic Mega Collection,
Ghostbusters: The Video Game (DS Version),
Madden NFL 15,
Need For Speed: Undercover,
Toy Story 3: The Video Game,
NBA Jam,
SOCOM: U.S. Navy SEALs: Combined Assault,
Peter Jackson's King Kong: The Official Game of the Movie,
Need for Speed: ProStreet,
Donkey Kong Country,
Dance Central 2,
PGR4 - Project Gotham Racing 4,
1080°: TenEighty Snowboarding,
Carnival Games,
NBA Live 2004,
Call of Duty 2,2630
Rayman Raving Rabbids: TV Party,
Pokémon Mystery Dungeon: Blue Rescue Team,
Dark Souls,
Just Dance 3,
Battlefield 4,1238860
Fire Emblem: Awakening,
Need for Speed: The Run,
Just Dance 2015,
Dragon Age: Inquisition,
Super Street Fighter II,
Dead Space,
Mortal Kombat vs. DC Universe,
TouchMaster,
Tenchu: Stealth Assassins,
Tennis,
Harry Potter and the Chamber of Secrets,
Kingdom Hearts 358/2 Days,
Skate 3,
SimCity,
Harry Potter and the Chamber of Secrets,
Need for Speed Rivals,
Spyro: Enter the Dragonfly,
Devil May Cry 2,
E.T.: The Extra Terrestrial,
Hot Shots Golf: Open Tee,
Minecraft,
Soccer,
Rad Racer,
Forza Horizon,
Tom Clancy's Rainbow Six: Vegas,
Crash Nitro Kart,
Resident Evil 6,221040
Grand Theft Auto: San Andreas,12120
Star Wars: Dark Forces,
NBA Street Vol. 2,
Def Jam Vendetta,
Kirby Squeak Squad,
Burnout Paradise,
Who wants to be a millionaire,
Alleyway,
Scooby Doo and the Cyber Chase,
The Sims 3,47890
FIFA Soccer 09,
Dragon Ball Z: Budokai 3,
Call of Duty: World at War,10090
Jet Moto 2,
Tom Clancy's Ghost Recon,
BioShock Infinite,8870
X-Men Legends,
Mortal Kombat II,
Virtua Fighter 2,
Mortal Kombat vs. DC Universe,
Destiny: The Taken King,
Tetris DX,
The Legend of Zelda: Oracle of Ages,
Destiny,
Red Faction,
The Sims: Makin' Magic,
Mario Party: Island Tour,
MX Unleashed,
PaRappa The Rapper,
Guitar Hero: World Tour,
Need for Speed: Shift,
Mario Party 3,
Diablo III,
LittleBigPlanet 3,
Star Wars Rogue Leader: Rogue Squadron II,
Tomb Raider (2013),
Mario Super Sluggers,
Donkey Kong Country Returns,
Monopoly,
Madden NFL 09,
Batman: Arkham Origins,209000
Game Party 2,
Yu-Gi-Oh! Forbidden Memories,
Mortal Kombat: Deception,
Hot Shots Golf 2,
Medal of Honor: European Assault (All Region sales),
NBA 2K17,
Toy Story Mania!,
WCW Nitro,
High School Musical: Sing It!,
Star Fox Adventures,
FIFA 2000,
Madden NFL 25,
Dynasty Warriors 3,
The Legend of Zelda: Oracle of Seasons,
Ratchet & Clank Future: A Crack in Time,
Madden NFL 06,
Shrek 2,
Turok 2: Seeds of Evil,
The Legend of Dragoon,
SingStar,
Star Wars: The Force Unleashed,
NBA Live 2002,
Just Cause 3,225540
Chrono Cross,
Jak 3,
Kingdom Hearts: Chain of Memories,
Pinball,
Max Payne 3,204100
Gran Turismo Concept 2001 Tokyo,
LEGO Marvel Super Heroes,249130
Phineas and Ferb,
NCAA Football 06,
"Hey You, Pikachu!",
Rayman Raving Rabbids 2,
2 Games in 1: Sonic Advance & ChuChu Rocket!,
Jet Moto,
Kirby: Triple Deluxe,
Secret of Mana,
GoldenEye 007 (2010),
Sonic Classic Collection,
Air Combat,
Diablo III,
inFAMOUS 2,
World of Warcraft: Mists of Pandaria,
Sonic & Knuckles,
Namco Museum,
The Sims: Hot Date,
Demon's Souls,
The Orange Box,
DDRMAX2: Dance Dance Revolution,
Crazy Taxi,
Virtua Fighter 4,
Mafia III,
Sly 2: Band of Thieves,
Guitar Hero: World Tour,
Sonic Advance 2,
Madden NFL 07,
NFL GameDay 2000,
NBA 2K11,
Forza Motorsport 6,
The Evil Within,268050
Metroid Prime 3: Corruption,
The Legend of Zelda: The Wind Waker,
Disney's The Lion King,
Professor Layton and the Mask of Miracle,
Midnight Club II,
SpongeBob SquarePants: SuperSponge,
The Getaway: Black Monday,
50 Cent: Bulletproof,
Final Fantasy II,
Kirby 64: The Crystal Shards,
Dead or Alive 3,
Dragon Quest Monsters: Joker,
LEGO Star Wars III: The Clone Wars,
High School Musical: Sing It!,
Metroid II: Return of Samus,
WWF Attitude,
UFC 2009 Undisputed,
The SpongeBob SquarePants Movie,
Golden Sun,
Sonic the Hedgehog 3,
Kid Icarus,
Def Jam: Fight for NY,
Tom Clancy's Ghost Recon,
State of Emergency,
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,
The Urbz: Sims in the City,
Star Wars: Starfighter,
Madden NFL 2000,
Star Wars: Battlefront,
Pro Evolution Soccer,
Madden NFL 17,
Just Cause 2,8190
Disney's Aladdin,
Kirby's Adventure,
Yoshi,
The Elder Scrolls Online,306130
FIFA Soccer 08,
Crackdown,
Wii Party U,
Dance Dance Revolution X,
2 Games in 1: Disney Princess & The Lion King,
Kingdom Hearts,
Star Wars Episode I: The Phantom Menace,
