Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,Global_Sales,User_Count,Developer,Original_Index,Release_Season
Need for Speed Underground,XB,2003.0,Racing,Electronic Arts,1.09,0.55,1.71,35.0,Electronic Arts,1045,Fall
Portal 2,PS3,2011.0,Shooter,Valve,0.83,0.6,1.7,937.0,Valve Software,1052,Spring
Super Puyo Puyo,SNES,1993.0,Puzzle,Banpresto,0.0,0.0,1.7,,,1053,Fall
No Man's Sky,PS4,2016.0,Action,Hello Games,0.63,0.76,1.7,5096.0,Hello Games,1056,Summer
Resident Evil 4,GC,2005.0,Action,Capcom,0.98,0.42,1.69,767.0,Capcom,1068,Winter
 Fire Emblem Fates,3DS,2015.0,Role-Playing,Nintendo,0.81,0.23,1.68,,,1079,Summer
Tony Hawk's Pro Skater 3,PS,2001.0,Sports,Activision,1.09,0.49,1.67,36.0,Shaba Games,1088,Fall
Dragon Age: Origins,PS3,2009.0,Role-Playing,Electronic Arts,0.96,0.42,1.67,597.0,BioWare,1091,Fall
Street Fighter II': Special Champion Edition,GEN,1992.0,Fighting,Sega,1.0,0.3,1.66,,,1099,Spring
Saints Row IV,X360,2013.0,Action,Deep Silver,1.01,0.5,1.66,325.0,Volition Inc.,1103,Summer
NBA Live 2003,PS2,2002.0,Sports,Electronic Arts,1.25,0.15,1.66,28.0,EA Canada,1104,Fall
LEGO Batman 2: DC Super Heroes,X360,2012.0,Action,Warner Bros. Interactive Entertainment,0.9,0.61,1.66,114.0,TT Games,1105,Summer
Need for Speed Carbon,X360,2006.0,Racing,Electronic Arts,0.76,0.69,1.65,82.0,EA Canada,1113,Fall
Far Cry 4,XOne,2014.0,Shooter,Ubisoft,0.8,0.69,1.63,383.0,Ubisoft Montreal,1125,Fall
Beyond: Two Souls,PS3,2013.0,Adventure,Sony Computer Entertainment,0.52,0.8,1.63,2652.0,Quantic Dream,1127,Fall
Call of Duty: Black Ops,PC,,Shooter,Activision,0.58,0.81,1.63,1651.0,Treyarch,1131,Fall
