Name,Steam_App_ID,Position,Release_Date,Release_Season
Rise of the Tomb Raider,391220.0,5673,2016-02-09,Winter
Batman: Arkham Origins,209000.0,5704,2013-10-24,Fall
Batman: Arkham Origins,209000.0,5731,2013-10-24,Fall
Tropico 5,245620.0,5747,2014-05-23,Spring
DmC: Devil May Cry,220440.0,5817,2013-01-24,Winter
Kingdoms of Amalur: Reckoning,102500.0,5839,,
Naruto Shippuden: Ultimate Ninja Storm 4,349040.0,5850,2016-02-04,Winter
Sniper Elite 3,238090.0,5862,2014-06-27,Summer
Borderlands: The Pre-Sequel,261640.0,6024,2014-10-14,Fall
Metal Gear Solid V: Ground Zeroes,311340.0,6050,2014-12-18,Winter
World of Tanks,1407200.0,6079,2021-04-28,Spring
Payday 2,218620.0,6174,2013-08-13,Summer
Alien: Isolation,214490.0,6184,2014-10-06,Fall
Sniper Elite 3,238090.0,6193,2014-06-27,Summer
The Evil Within,268050.0,6277,2014-10-13,Fall
Tropico 4,57690.0,6381,2011-09-01,Fall
The Bureau: XCOM Declassified,65930.0,6692,,
The Walking Dead: Season Two,261030.0,6756,2013-12-17,Winter
F1 2015,286570.0,6760,2015-07-09,Summer
Hitman: Absolution,203140.0,6770,2012-11-19,Fall
Homefront,55100.0,6812,2011-03-14,Spring
BioShock 2,8850.0,6820,2010-02-09,Winter
Total War: Attila,325610.0,6830,2015-02-17,Winter
Rocket League,252950.0,6893,2015-07-07,Summer
DC Universe Online,24200.0,6941,2011-11-02,Fall
XCOM 2,268500.0,6997,2016-02-04,Winter
Mafia,40990.0,7027,2002-08-28,Summer
Spec Ops: The Line,50300.0,7106,2012-06-29,Summer
Dishonored 2,403640.0,7235,2016-11-11,Fall
The Bureau: XCOM Declassified,65930.0,7340,,
Assassin's Creed Syndicate,368500.0,7385,2015-11-18,Fall
Defiance,224600.0,7468,2014-06-04,Summer
Sniper: Ghost Warrior 2,34870.0,7520,2013-03-11,Spring
EVE Online,8500.0,7521,2003-05-06,Spring
Zombie Army Trilogy,301640.0,7541,2015-03-06,Spring
Sleeping Dogs,202170.0,7634,,
Dying Light,239140.0,7641,2015-01-26,Winter
Supreme Commander 2,40100.0,7808,2010-03-01,Spring
Quake,2310.0,7832,1996-06-22,Summer
South Park: The Stick of Truth,213670.0,7840,2014-03-05,Spring
The Walking Dead: Season Two,261030.0,7890,2013-12-17,Winter
Metal Gear Solid V: The Phantom Pain,287700.0,8032,2015-09-01,Fall
Call of Duty: World at War,10090.0,8039,2008-11-18,Fall
Brink,22350.0,8131,2011-05-09,Spring
Payday 2,218620.0,8142,2013-08-13,Summer
Deus Ex: Mankind Divided,337000.0,8341,2016-08-23,Summer
LEGO Marvel Super Heroes,249130.0,8371,2013-11-15,Fall
Resident Evil,304240.0,8450,2015-01-19,Winter
Phantasy Star Online 2,1056640.0,8468,2020-08-05,Summer
Darksiders,50620.0,8841,2010-09-23,Fall
Dishonored,205100.0,8882,2012-10-11,Fall
Terraria,105600.0,8993,2011-05-16,Spring
Alien: Isolation,214490.0,9037,2014-10-06,Fall
Just Cause 3,225540.0,9039,2015-11-30,Fall
Doom,379720.0,9072,2016-05-12,Spring
Hitman: Blood Money,6860.0,9082,2006-05-30,Spring
Metal Gear Solid V: Ground Zeroes,311340.0,9088,2014-12-18,Winter
XCOM 2,268500.0,9119,2016-02-04,Winter
Cities: Skylines,255710.0,9137,2015-03-10,Spring
The Walking Dead: Season Two,261030.0,9158,2013-12-17,Winter
