Name,Steam_App_ID,Position,Release_Date,Release_Season,Platform,Genre,Publisher,NA_Sales,EU_Sales,Global_Sales,User_Count,Developer,steam_price_usd,metacritic_score,total_recommendations
Rise of the Tomb Raider,391220.0,1404,2016-02-09,Winter,PS,Shooter,Take-Two Interactive,0.77,0.54,1.38,,,,,
Call of Duty: Black Ops,42700.0,1413,2010-11-09,Fall,PS3,Shooter,Square Enix,0.5,0.59,1.37,682.0,Eidos Montreal,,,
Middle-Earth: Shadow of Mordor,241930.0,1435,2014-09-30,Fall,PS3,Racing,Sony Computer Entertainment,0.43,0.65,1.35,318.0,Evolution Studios,,,
Battlefield 4,1238860.0,1438,2013-10-29,Fall,XB,Racing,Vivendi Games,0.7,0.58,1.35,,,,,
Alan Wake,108710.0,1469,2012-02-16,Winter,GBA,Action,Activision,0.92,0.35,1.33,,,,,
The Elder Scrolls V: Skyrim,72850.0,1476,2011-11-10,Fall,PS2,Racing,TDK Mediactive,0.65,0.51,1.33,21.0,Steel Monkeys,,,
The Witcher 3: Wild Hunt,292030.0,1500,2015-05-18,Spring,PS,Adventure,THQ,0.57,0.67,1.31,,,,,
Assassin's Creed Syndicate,368500.0,1516,2015-11-18,Fall,PS,Role-Playing,Namco Bandai Games,0.56,0.38,1.3,,,,,
Far Cry 4,298110.0,1518,2014-11-18,Fall,DS,Role-Playing,Nintendo,0.5,0.16,1.29,25.0,Creatures Inc.,,,
Dying Light,239140.0,1530,2015-01-26,Winter,PC,Role-Playing,Bethesda Softworks,0.51,0.67,1.29,7512.0,Bethesda Game Studios,,,
Fallout 4,377160.0,1531,2015-11-09,Fall,DS,Platform,Sega,0.69,0.47,1.29,66.0,Dimps Corporation,,,
The Elder Scrolls Online,306130.0,1537,2014-04-04,Spring,PS2,Role-Playing,Sony Online Entertainment,0.63,0.49,1.28,57.0,Snowblind Studios,,,
Metal Gear Solid V: Ground Zeroes,311340.0,1560,2014-12-18,Winter,DS,Adventure,Nintendo,0.75,0.39,1.27,,Griptonite Games,,,
